,Song_name,travis
16,strangers on a train   ,"""You're not listening and all my words are lost and found We both want something new I'll take the sky, you keep the ground We can bend, we can brake We can learn to give and take Do you have the friends to start a war What could you shoot or burn Give me a chance to live and learn There's still so much left to explore"", ""We were moving so fast for so long Never taking any hints from no one And you got running on the reign Still running from the place where the sun dies Take a track to the city where our hearts lay And though our journey's still the same Just strangers on a train"", ""Close your restless eyes I've seen them one to far too much And it's hard to sympathize When it's not me who's losing touch Is there a joke you need to make Is there a smile you need to fake And you cut so deep you hit the bone Is there a flame you need to light Is there a nip and it's a bite What does it take to guide you home?"", ""We were moving so fast for so long Never taking any hints from no one And you got running on the reign Still running from the place where the sun dies Take a track to the city where our hearts lay And though our journey's still the same Just strangers on a train"", ""If you got love, hold it high Hold your heart up in the sky Let it shine, let it shine If you got love, sing it loud Hold your heart up in the crowd Let it shine, let it shine If you got love, set it free Hold your heart in front of me Let it shine, let it shine If you got love, hold it high Hold your heart up in the sky Let it shine, let it shine Just let it shine Let it shine Just let it shine Just let it shine Let it shine (If you got love, set it free, hold your heart in front of me) Let it shine (If you got love, hold it high, hold your heart up in the sky)"""
17,closer   ,"""I've had enough of this parade I'm thinking of the words to say We open up unfinished parts Broken up It's only love"", ""And when I see you then I know it will be next to me And when I need you then I know you will be there with me I'll never leave you Just need to get"", ""Closer, closer Lean on me now Lean on me now Closer, closer Lean on me now Lean on me now"", ""Keep waking up (waking up) without you here (without you here) Another day (another day) another year (another year) I seek the truth (seek the truth), we set apart (we set apart) Second dance A second chance (a second chance)"", ""And when I see you then I know it will be next to me And when I need you then I know you will be there with me I'll never leave you Just need to get"", ""Closer, closer Lean on me now Lean on me now Closer, closer Lean on me now Lean on me now Lean on me now"", ""And when I see you then I know it will be next to me And when I need you then I know you will be there with me I'll never leave you Just need to get"", ""Closer, closer Lean on me now Lean on me now Closer, closer Lean on me now Lean on me now Lean of me now Closer, closer Closer, closer"""
18,coming around   ,"""Mothers see it coming around They know they got their heads screwed on I'm standing in the middle of town I know I might never come home"", ""Just standing where I am with all the people passing by me The sound of all these passers-by mixed in with the bus andmotor-car I must be sure these are the signs Cos I've been here a million times before"", ""Just tell me when it's coming around, coming around I think I see you coming to town, hunting you down Bringing you round"", ""Tell me if I'm bringing you down Cos I was fine till you came along You tell me that the tears of a clown That I'm confusing while abusing my mind"", ""So far away I wanna be That's not as close to you and me The things they call our destiny Now why do you have to pick on me at all? My walls are coming down"", ""Just tell me when it's coming around, coming around I think I see you coming to town, hunting you down Coming around"", ""Just tell me when it's coming around, coming around I think I see you coming to town, dragging you down Just tell me when it's coming around, coming around I think I see you coming to town, just dragging you down It's coming around Coming around"""
19,1922   ,"""Sometime I get so low It take a while to show But when it go It go Just need some time alone No friends, no telephone Is this too much to ask"", ""Sometimes I feel so tired I'm dizzy, closed my eyes (?) But please don't ask me why Just need some time with you In 1922 Your company's so very cool Hey"", ""Sometime I get so low It take a while to show But when it blows You'll know Just need some time with you In 1922 It's 1922 We're 1922"""
20,20   ,"""Sure it's a gas (We're) Stuck in an English class Can't even dream So it's hard to accept the role you're given When you're sittin' there staring at the ceiling Wishing you were so very far from here When you're 13"", ""What fors and whys If he's got it why can't I You're my queen And I dream about you when I'm in my bed And if all of these things are like you said Then I'd rather be in another scene When I'm 14"", ""Just not fair I'm not getting anywhere Oh hard as a stone They expect us to make it out alone And they scream at us when we're on the phone And they lecture us all about routine When you're 15"", ""Get out of here You're crowding my tender years Don't say you see Cos you'd forgotten what it's like to be And I'm sure that it's changed to some degree Christ's advice ain't never as it seemed When you're 16"", ""Four years go You've fallen before you know You're now of age And you're thrown in a different cage And you're faced with another blank page And I know I don't need to be told"""
21,definition of wrong   ,"""Nothing's wrong, nothing's right There's no obvious solution to this plight Keep it locked, out of sight Even then it's just a matter of time, uh oh Nothing's right, nothing's reign I'm gonna get a tumor in the brain Now you're here, now you're gone Oh what's the definition of wrong Oh what's the definition of wrong What's the definition of wrong Hangin' out down the street Me and my homies and a couple of ho's we meet Acting shy, talking sweet Show me the money, honey Give it to me talk is cheap Shaken up, also ran You'd rather stick your head into the sand Now you're lame, too far gone Now what's the definition of wrong What's the definition of wrong What's the definition of wrong"""
22,my eyes   ,"""Deep in my heart There's no room for crying But I'm trying to see your point of view Deep in my heart I'm afraid I'm dying I'd be lying if I said I'm not Welcome in, welcome in Shame about the weather Welcome in, welcome in You're welcome It's a sin it's a sin Where birds of a feather Are welcome to land on you"", ""Ya ya yay Ya ya yay You got my eyes We can't see what you'll be You can't disguise Either way I will pray You will be wise Pretty soon you will see Tears in my eyes"", ""As each day goes by Makes way for another We discover that we're not alone And each day we try The best we can to recover All the feelings that we left below Welcome in, welcome in Shame about the weather Welcome in, welcome in You're welcome It's a sin it's a sin Where birds of a feather Are welcome to land on you"", ""Ya ya yay Ya ya yay You got my eyes And we can't see what you'll be You can't disguise But either way I will pray You will be wise Pretty soon you will see Tears in my eyes"", ""Welcome in, welcome in Shame about the weather Welcome in, welcome in You're welcome It's a sin it's a sin Where birds of a feather Are welcome to land on you..."", ""Ya ya yay Ya ya yay You got my eyes We can't see what you'll be You can't disguise But either way I will pray You will be wise Pretty soon you will see Tears in my eyes Pretty soon you will see Tears in my eyes Oh pretty soon you will see Tears in my eyes"""
23,battleships   ,"""When will you carry me home Like the wounded star in the movie When will you carry me home Take it back to the start when you knew me 'Cause when you talk to me that way I'll be a million miles away I guess it's just another day In love"", ""We're battleships Drifting in our wee river Taking hits Sinking, it's now or never Overboard Drowning in a sea of love and hate But it's too late Battleship down"", ""When will you figure it out That you're not always right little darling When will you figure it out That it's not worth the fight little darling 'Cause when you can't think what to say You go and throw it all away I guess it's just another day In love"", ""We're battleships Drifting in our wee river Taking hits Sinking, it's now or never Overboard Drowning in a sea of love and hate But it's too late Battleship down"", ""But you're too smart And I'm too dumb With no heart in the middle"", ""We're battleships Drifting in our wee river Taking hits Sinking, it's now or never Overboard Falling into the ocean Ship to shore Drowning in a sea of love and hate But it's too late Battleship down"""
24,we are monkeys   ,"""People think they're funny when they have a good wit Others think they're gorgeous but inside they feel shit Many think they're brainy but they haven't a clue And I think I'm clever 'coz I'm singing this to you"", ""We are wrong, we are wrong, we are all so, so wrong, we are monkeys We are false, we're untrue, we should be in the zoo with our uncles And if you don't believe, go and climb up a tree and you'll love it You're a fool to believe any more, so believe you're a monkey"", ""Now all the clever monkeys telling us what to do Telling us to stay in line and join the monkey queue Thinking that they're special 'coz they went to private zoo One day soon they're gonna end up in a monkey stew"", ""They are wrong, they are wrong, they are all so, so wrong They are monkeys They are false, they're untrue, they should be in the zoo with their uncles And if you don't believe, go and climb up a tree and you'll love it You're a fool to believe any more so believe you're a monkey"", ""We are wrong, we are wrong, we are all so, so wrong, we are monkeys We are false, we're untrue, we should be in the zoo with our uncles And if you don't believe, go and climb up a tree and you'll love it You're a fool to believe any more, so believe you're a monkey"", ""You're a fool to believe any more, so believe you're a monkey You're a fool to believe any more, so believe you're a monkey"""
25,beautiful bird   ,"""I once found a beautiful bird Upon my ground all battered and hurt And I mended its wing And I taught it how to sing As time passed on There came a song That I had never heard Now it was a haunting melody And she played it just for me"", ""So don't let go My beautiful bird Don't say no My beautiful bird Don't say no Until you have heard What I have to say That she don't find love everyday Don't let go My beautiful bird Don't say no Until you have heard What I have to say That she don't find love everyday I once found a beautiful bird Upon my ground all battered and hurt Now I mended its wing And I taught it how to sing So don't let go My beautiful bird Don't say no Until you have heard What I have to say That she don't find love everyday"""
26,walking down the hill   ,"""Walking down this hill tonight I had a thought all to myself As I contemplated the moonlight"", ""We got it all, we got it made I don't know how I got here But I'm holding on for the crash"", ""Pull myself out of the moon I know I'll never go there but It's shining down from up on high We got it made, we got it made I don't know what we gotta make Sooner or later we die"", ""We're apart, go to pieces While I go to sleep"", ""Look into my heart, oh baby Don't become a part of the past You can be a part of the key"", ""Don't turn away, don't run away Don't leave me hanging by a thread Shine a little love down on me"", ""We're in love, make your peace Wasting time's all you need"", ""Walking down this hill tonight I had a thought it was my own Moon swept by the clouds and save the starlight Or shall I be or shall I not be I don't know I just don't Feel like kids in night"""
27,sarah   ,"""Where are you goin' tonight Where do you dance When you turn of the light"", ""In your eyes as they're rollin' your hair Spin you around as you lie on the bed But I'm not keepin' time Upon the creepin' vine, vine"", ""He was the one made you fall But he couldn't help you at all Not at all So he packed up and jumped from the wall Pushing his luck past the ghosts in the hall Still I'm not keepin' time Upon the creepin' vine, vine"", ""Oh, Sarah You've done it all to yourself With your bottle of gin on the shelf And your love letters sent to yourself"", ""Oh, Sarah You used to say you were lucky Now your luck's runnin' off down the stairs To the arms of another"", ""At the back of her mind There's a photograph Of a child all alone in the dark She can tell by the bell ringing back at her She's lost"", ""Where are you goin' tonight Dressed like a ragdoll With holes in your tights In your eyes as they're rollin' your hair Spin you around as you fall out the bed But I'm not keepin' time Upon the creepin' vine, vine"", ""Oh, Sarah You've done it all to yourself With your bottle of gin on the shelf And your love letters sent to yourself"", ""Ohhh, Sarah You used to say you were lucky Now your luck's runnin' off down the stairs And you realize nobody cares Take a bottle of gin from the shelf And pour me another"""
28,out in space   ,"""Oh my friend We have spent So much time looking for someone to blame 'Cause we're the same And jealous games Take up time we could spend on other things Oh my friend If it ends Let us go and then not look back again We can't be You and me Taking ourselves much too seriously"", ""But out in space A million miners work upon the nights coal face And all I see is black And the stars look back at me"", ""Oh my friend What a friend I'd have thought you'd have stayed here till the end To take a bow Draw the crowd We're just words in the sand at high tide"", ""But out in space A million miners work upon the nights coal face And all I see is black And all the stars look back at me"", ""Oh my friend We should spend Some more time looking from the other end 'Cause we would see So clearly We blame ourselves as much as we blame we We blame ourselves as much as we blame we We blame ourselves"""
29,days of our lives   ,"""How many times have you walked through my door How many times have you heard my song before How many lines until the end of time These are the days of our lives"", ""How many times did you hear mother say You would do fine if you didn't sleep all day Oh mother dear, I'll get a job next year These are the days of our lives"", ""How many times did you walk down the street Avoiding cracks that were thrown at your feet These rainy days were sent to make us pay But these are the days of our lives"", ""How many roads must a woman walk down How many walls will surround the town All that I am could get us out of here These are the days of our lives"", ""Did you believe in the stories at night Weren't you afraid when they turned out the light Oh, such a gas, I'm sorry it won't last These are the days of our lives"", ""These are the days that some of us regret These are the days we learn to forget These are the days that turn us out this way These are the days of our lives"", ""Of our lives"""
30,how many hearts   ,"""How many hearts Does it take to break All of the bonds That young lovers make? Hoping to find The next golden egg One that will shine Through the rest of time"", ""And how many roads Must there need to be Hoping inside You could mean to me? Open your mouth Build your sermon there Give me more time Do the best I can"", ""Hopelessly hoping our plan will wake up Hoping it all will be fine Holding our candles through weather or not Love be the enemy now Now for the rest of time"", ""A long time ago There was only me And there was No ring eternally Won't be the same No-one there to blame No longer care"", ""And you are, and you are a new age..."", ""Hopelessly hoping our plan will wake up Hoping it all will be fine Holding our candles through weather or not Love be the enemy now Now for the rest of time"", ""And you are, and you are a new age..."""
31,in the church   ,"""In the church One day you'll get hurt In the school Teachers such a fool And if they would ever come round here They would ever come Blame it on my style Take a pill Don't tell me how to feel"", ""Bad news in twos Sing it from the highest hill Sing me some sad song"", ""Uncle Sam Playing in the sand Understand Hold my hand Time is never gonna stop running Never gonna stop Take me to the top of the tree Don't take me for a cracked window pane"", ""Bad news in twos Shout it from the highest hill Sing me some sad song"", ""Don't rehearse This is the last verse In the hearse Going through your purse And if they would ever laugh Not here They would ever laugh Blame it on my style Once again Don't take me for a ride in the rain"", ""Bad news in twos Shout it from the highest hill Sing me some sad song"""
32,side   ,"""Ohh, I believe there's someone watching over you They're watching every single thing you say And when you die they'll set you down and take you through You'll realise one day Ahhh... That the grass is always greener on the other side The neighbour's got a new car that you wanna drive And when time is running out, you wanna stay alive..."", ""We all live under the same sky We all will live, we all will die There is no wrong, there is no right The circle only has one side Side... Side... We all try hard to live our lives in harmony For fear of falling swiftly overboard But life is both a major and a minor key Just open up the chord Ahhh..."", ""But the grass is always greener on the other side"", ""The neighbour's got a new car that you wanna drive And when time is running out, you wanna stay alive... We all live under the same sky We all will live, we all will die"", ""There is no wrong, there is no right The circle only has one side"", ""Side... Side... Side... But the grass is always greener on the other side The neighbour's got a new car that you wanna drive And when time is running out, you wanna stay alive... We all live under the same sky We all will live, we all will die There is no wrong, there is no right"", ""Ahhh... But the grass is always greener on the other side The neighbour's got a new car that you wanna drive"", ""And when time is running out, you wanna stay alive... We all live under the same sky We all will live, we all will die There is no wrong, there is no right The circle only has one side... Side... Side... Side... Side... Side..."""
33,yeah yeah yeah yeah   ,"""I was alone I found love Now I got some (yeah yeah yeah yeah) You came along Right on time With a new song (yeah yeah yeah yeah) Now there's nothing in this life now that could go wrong"", ""Oh no (yeah yeah yeah yeah) Not me (yeah you you you) How could (yeah yeah yeah yeah) You do (do do do do) The more I see The more I want of you"", ""I was afraid I would be sad and lonely I was afraid You would not be my one and only Well I got so hung Now I'm gonna stake my pony"", ""Oh no (yeah yeah yeah yeah) Not me (yeah you you you) How do (yeah yeah yeah yeah) You do (do do do do) The more I see The more I want of you"", ""Was a world outside my window Should I hide from it Tired of it But I know the sea of shadows running far"""
34,the beautiful occupation   ,"""Don't just stand there watching it happening I can't stand it Don't feel it Something telling me Don't wanna go out this way But have a nice day"", ""Then read it in the headlines Watch it on the TV Put it in the background Stick it in the back Stick it in the back"", ""For the beautiful occupation The beautiful occupation You don't need an invitation To drop in upon a nation"", ""I'm too cynical I'm just sitting here I'm just wasting my time Half a million civilians gonna die today But look the wrong way"", ""Then read it in the headlines Watch it on the TV Put it in the background Stick it in the back Stick it in the back"", ""For the beautiful occupation The beautiful occupation You don't need an invitation To drop in upon a nation"", ""Don't just stand there Watching it happening I can't feel it Don't need this Something telling me I don't wanna go out this way But have a nice day"", ""Then read it in the headlines Watch it on the TV Put it in the background Stick it in the back Stick it in the back"", ""For the beautiful occupation The beautiful occupation You don't need an invitation To drop in upon a nation The beautiful occupation The beautiful occupation So much for an intervention Don't call the United Nations"""
35,the humpty dunpty love song   ,"""All of the king's horses and all of the king's men Couldn't pull my heart back together again All of the physicians and mathematicians too Failed to stop my heart from breaking in two"", ""'Cause all I need is you I just need you Yeah you got the glue So I'm gonna give my heart to you"", ""I had a premonition a movie in my mind Confirming my suspicions of what I would find It followed me to LA down to Mexico Came in through the back door at the start of the show"", ""Still all I need is you I just need you Yeah you got the glue So I'm gonna give my heart to you"", ""Oh was a perfect day Oh in a perfect way You know something had to go You left me high You left me low"", ""Now as I lie in pieces and wait for your return The sun upon my forehead it burns baby burns baby burns An eye on all my horses you've slept with all my men I'm never gonna get it together again"", ""Still all I need is you I just need you Yeah you got the glue So I'm gonna give my heart to you Yeah you got the glue And there's nothing I can do Yeah you got the glue So I'm gonna give my heart to you"""
36,under the moonlight   ,"""Can you see the moonbeam And the colour of the lights They're like flowers blooming in motion Watching them fade The last fireworks of the night I begin to wake To relive this memory When the answer is clear and beyond belief There's a gift of love That awaits the final day But tonight Tonight"", ""Under the moonlight with the one you love Under the big sky for the one you love Riding under the moonlight with the one you love Going places together tonight"", ""In the far distance As the dream nears the end And summer lovers pass the time Holding on to what they can't keep Into the horizon Where the ocean meets the sky So gather up your voice 'Cause tonight's the night Tonight"", ""Under the moonlight with the one you love Under the big sky for the one you love Riding under the moonlight with the one you love Going places together tonight Tonight Tonight Tonight"", ""Stars light up the coastline And we'll feel this way For today And for all time"", ""Under the moonlight with the one you love Under the big sky for the one you love Riding under the moonlight with the one you love Under the moonlight Oh we're going places together tonight Tonight Tonight Tonight Under the moonlight"""
37,anniversary   ,"""You were standing next to me Reciting poetry Looking very pale Like you lost a nail But somehow beautiful And beautiful you're still As I look at you today On the anniversary On the anniversary The anniversary"", ""You were walking next to me Clutching a diary Trying to be heard Without a single word I knew you would leave soon When he walked in the room I still remember you this way On the anniversary On the anniversary The anniversary"", ""You were lying next to me Breathing quietly Looking very pale I think you lost a nail And somewhere in your eyes You finally realize I will remember you this way On the anniversary On the anniversary The anniversary"""
38,the distance   ,"""Do you remember? Do you remember? Do you remember How you were gonna stay free? But they had plans for you And things to do The same thing goes for me Well well I never Saw it coming to me But when I turned around to look at you It was all that I could do"", ""To see the distance Everybody wants to run And I'm no different Feeling like the only one"", ""In the beginning Everything was so close And it seemed that everywhere you go Everybody knows"", ""You don't remember What you wanted to be Well they went round the class And you were last The clock was fast So no one asked"", ""To see the distance Everybody wants to run And I'm no different Feeling like the only one"", ""Well how long can you run? How far and what for? How far will you run To get whatever you're after Year after year after year"", ""Well I've been looking But I still can't see How we get from a to b to c And feel like we should be"", ""Well I've been running But I've been running around Now there's nothing left for me to do But sit around and see the view"", ""And see the distance Everybody wants to run And I'm no different Feeling like the only one"", ""Do you remember? Do you remember? Do you remember?"""
39,shes so strange   ,"""She's so strange And she wore a black moustache And she pilfered all the petty cash She went to Birmingham She'll soon be in the can She's so cruel And she knew just what to do And while the cats were all sniffing glue They played their silly games And now they'll take the blame What she'd done And she didn't know quite what she did And they told her that she better had So now she starts to cry Without a reason why She's so poor And only now she's looking back She sees her story on a paperback What will become of her There's not much left for her"""
40,somewhere else   ,"""Home and away Life goes on the same, bury the pain And hold on to love Heal the song, sing along But what does it change"", ""Oh this life is so confusing Feels like I'm always losing"", ""Come in knowing everything But don't say a word, till they teach you the way Words are found too close to the edge That we don't dare sing"", ""This will turn into something else, something else And when it does, I'll be somewhere else, somewhere else Where else?"", ""And you said I should be myself Despite all the wrong, dragging you back Forgive and then forgone and on and on and on and on"", ""This life is so confusing Feels like I'm always losing"", ""And this'll turn into something else, something else But when it does, I'll be somewhere else, somewhere else Where else?"""
41,the last laugh of the laughter   ,"""When the laughter fade away Ma vie Tout ma vie When there's nothing left to say Ma vie My oh my"", ""It's the last laugh of the laughter Sur la dernier page do chapitre On the last day of the year Ma vie Tout ma vie When the spotlight fade away"", ""Ma vie C'est la vie When the blue skies turns to grey Ma vie Tout ma vie It's the last laugh of the laughter Sur la dernier page do chapitre On the last day of the year Ma vie Tout ma vie When the laughter fades away"", ""Ma vie Tout ma vie When there's nothing more to say Ma vie My oh my"", ""It's the last laugh of the laughter Sur la dernier page do chapitre On the last day of the year Ma vie Tout ma vie Ma vie My oh my"""
42,reoffender   ,"""Keeping up appearances Keeping up with the Joneses Fooling my selfish heart Going through the motions"", ""But I'm fooling myself I'm fooling myself"", ""'Cause you say you love me And then you do it again You do it again And you say your sorry's And then you do it again You do it again"", ""Everybody thinks you're well Everybody thinks I'm ill Watching me fall apart Falling under your spell"", ""But you're fooling yourself You're fooling yourself"", ""'Cause you say you love me And then you do it again You do it again You say your sorry's And then you do it again You do it again and again and again And again and again"", ""But you're fooling yourself You're fooling yourself"", ""'Cause you say you love me And then you do it again You do it again You say your sorry's And then you do it again You do it again You say you love me And then you do it again You do it again You say your sorry's And then you do it again You do it again and again and again And again and again"""
43,colder   ,"""I'm in love with everything With every face I've ever seen And every place I've ever been Has left it's mark upon my worries I colour in the world I see I pick apart the melody 'Cause maybe there's a symphony Caught inside but there's no way out"", ""And the sky is falling down and there's an angel on the ground it's getting colder I'm standing looking down there's not a sound around the town it's getting colder Colder"", ""I would show you everything But everything is too extreme We'll wait and see the entropy At the end when we all start flying"", ""But the sky is falling down and there's an angel on the ground it's getting colder I'm standing looking down there's not a sound around the town it's getting colder"", ""The sky is falling down and there's an angel on the ground it's getting colder I'm standing looking down there's not a sound around the town it's getting colder The sky is falling down and all the people on the ground are getting colder I'm standing looking down again but you can't help me now I'm getting colder"""
