,Song_name,pink
10,where we go   ,"""Got a hole in my head and my heart tonight Well you shot me down, you just ain't right Comes a time when you know you must let go I know, I know We fixed it, but it's broken Got a feeling we gonna get this wrong And even I can't be this strong It's a breath that you take you right before you die We lie and lie can't say we didn't try though"", ""So here we go Take my body, not my soul Took me high and left me low I honestly never imagined we'd get this far"", ""There's a road that takes me home Take me fast or take me slow Throw my head out through window Feel the wind, make me whole Write my name up in the sky As we contemplate goodbye I don't know, we don't know, where we go"", ""There's not a holy man or prayer in sight There's not a priest around to read our rights There's no magic balm to save our lives I know, I know We've both always been broken But you had a way of making me forget All the sadness rollin' 'round my head That was until I wished us dead You had my heart I wish you would have kept it"", ""This world, we know It takes our bodies, not our souls It takes us high and leaves us low But they honestly never imagined we'd get this far"", ""There's a road that takes me home Take me fast or take me slow Throw my head out through window Feel the wind, make me whole Write my name up in the sky As we contemplate goodbye I don't know, we don't know, where we go"", ""Death is in the air tonight I can smell the fear inside We can see when we close our eyes That's it's alright, it's alright Promise me you'll stay with me If just for one more night You can hold me honestly 'Cause it's alright, it's alright"", ""There's a road that takes me home Take me fast or take me slow Throw my head out through window Feel the wind, make me whole Write my name up in the sky As we contemplate goodbye I don't know, we don't know, where we go"", ""There's a road that takes me home Take me fast or take me slow I don't know, we don't know Take me home"""
11,when were through   ,"""I woke up one early evening and i knew i was alone Did the sun come up or did it rain again I'll never know I felt the acid in my stomach rise above my throat as i dialed"", ""There was a message from my mother from about 7am said I've forgotten what you sound like and I'm wondering how you've been I cried myself to sleep back on the floor unconscious in denial"", ""Life is just a little part of what the world will do To get its point across it beats you 'til your black and blue And decides just when your in or when your out 'cuz when your through your through"", ""Theres a cafe round the corner from the home i call a house I sit and play sudoku 'til i figure some shit out I drink the days first coffee and i smoke The last cigarette of my life"", ""And I'm wondering out of all the crazy places that I've been Would it ever be as good as sitting here just with a friend Where its always understood it might be time To switch the coffee to the wine"", ""Life is just a little part of what the world will do To get its point across it beats you 'til your black and blue And decides just when your in or when your out 'cuz when your through your through"", ""Yeah, Yeah. Whoaaaah, Ohhhh. Whoaaaaahhhhhh"", ""Ohhhh, Ohhh, Ohhh."", ""Oh."", ""Janis sings to me just like shes sitting by my side And i wonder just how many times shes sat like me and cried I've made it passed the age of 27 So theres no use in dying"", ""And all my friends have asked the question \""baby will you be ok\"" I wanna tell them yes 'cuz i know thats what i should say But i've got no crystal ball and i cant bring myself to lie and why should i?"", ""Hey, yeahhhh i think that. Life is just a little part of what this world will do It brings us to the brink and beats the shit right outta you And decides just when your in or when your out 'cuz when your through your through"", ""Yeah, yeah, yeah Life is just a little part of what this world will do It brings us to the brink and beats the shit right outta you And decides just when your in or when your out 'cuz when your through your through"", ""Ayyye, Oh. I guess I'm through When you're through, you're through."""
12,walk away   ,"""i gave you three years of my life You always said I'd be your wife What ever happened to the days when life was simple? Everyone knows my name I haven't changed, I'm the same girl I was from the start Everything's rearranged You came and changed it And gave me a broken heart"", ""You don't wanna work it out, no You wanna take the easy route Throw your hands up and you walk away When times get hard you always walk away You get mad and say you're leaving Why's it so damn hard for you to talk to me When it's so easy for you to walk away"", ""So here I am driving down the street Looking for a sign When will I meet, the man of my dreams When will he come to me When will he come to me Cause I'm sick of trying I'm going home back to PA where I came from And you can stay here And spend your whole life running But baby I'm gonna move on"", ""You didn't wanna work it out, no You wanna take it easy route You threw your hands up and you walked away, When times got hard you always walked away I'm sorry baby but I'm leaving It was just to hard for you to talk to me And now its my turn I'm gonna do the same"", ""So there I go leaving you alone What will you do now all your fears came true You had my heart you had my soul you had it all didn't you But I'm sick of trying I'm going home back to Philly where I come from And you can stay here and spend your whole life running But baby I'm gonna move on"", ""You didnt wanna work it out, no You just wanted the easy route Threw your hands up and you walked away, When times get hard you always walked away I'm sorry baby but I'm leaving It was just to hard for you to talk to me Now its my turn I'm gonna do the same"""
13,respect   ,"""Respect 1 and 2 and 3 and 4 this my rap song 1-2-3-4 i get really sick and tired of boys up in my face Pick up lines like \""what's your sign\"" won't get you anyplace when me and all my girls go walking down the street it seems we can't go anywhere without a car that goes \""beep-beep\"" Cuz this body is a priceless piece of lovin' unconditionally so, mr. big-stuff, who you think you are? you was thinkin' you's gonna get it for free now, now, now, Hey ladies (yeah!) let 'em know it ain't easy r-e-s-p-e-c-t let's come togeta' sista's (yeah!) its time to be greedy nothin' good comes for free Mirror on the wall, damn i sure look fine i can't blame those horny boys, i would make me mine when i pass you in a club, \""ooh, lala!\"" you gasp back up boy, i ain't your toy, or your piece of ass Cuz this body is a priceless piece of lovin' unconditionally so, mr. big-stuff, who you think you are? you was thinkin' you's gonna get it for free now, now, now Hey ladies (yeah!) let 'em know it ain't easy r-e-s-p-e-c-t let's come togeta' sista's (yeah!) its time to be greedy nothin' good comes for free Hey ladies (yeah!) let 'em know it ain't easy r-e-s-p-e-c-t let's come togeta' sista's (yeah!) its time to be greedy nothin' good comes for free No jealousy, no envy girls, c'mon, let's work it out no freebies in the limousine, that's not what its about let 'em know there's work to do, give it up he won't call you respect is just a minimum, go on girl and get you some 1-2-3-4 Hey ladies (yeah!) let 'em know it ain't easy r-e-s-p-e-c-t let's come togeta' sista's (yeah!) its time to be greedy nothin' good comes for free Hey ladies (yeah!) let 'em know it ain't easy r-e-s-p-e-c-t let's come togeta' sista's (yeah!) its time to be greedy nothin' good comes for free Let's come together c'mon girls let's work it out let's come together we'll show them what we're talkin' bout let's come together c'mon girls let's work it out let's come together let's come together let's come together nothin' good comes for free"""
14,what about us   ,"""We are searchlights, we can see in the dark We are rockets, pointed up at the stars We are billions of beautiful hearts And you sold us down the river too far"", ""What about us? What about all the times you said you had the answers? What about us? What about all the broken happy ever afters? What about us? What about all the plans that ended in disaster? What about love? What about trust? What about us?"", ""We are problems that want to be solved We are children that need to be loved We were willing, we came when you called But man, you fooled us, enough is enough, oh"", ""What about us? What about all the times you said you had the answers? What about us? What about all the broken happy ever afters? Oh, what about us? What about all the plans that ended in disaster? Oh, what about love? What about trust? What about us?"", ""Oh, what about us? What about all the plans that ended in disaster? What about love? What about trust? What about us?"", ""Sticks and stones, they may break these bones But then I'll be ready, are you ready? It's the start of us, waking up, come on Are you ready? I'll be ready I don't want control, I want to let go Are you ready? I'll be ready 'Cause now it's time to let them know we are ready What about us?"", ""What about us? What about all the times you said you had the answers? So what about us? What about all the broken happy ever afters? Oh, what about us? What about all the plans that ended in disaster? Oh, what about love? What about trust? What about us?"", ""What about us? What about us? What about us?"", ""What about us? What about us? What about us?"""
15,family portrait   ,"""Uh, uh, some deep shit, uh, uh Ohh ohh ohh ohh Yeah yeah, yeah yeah yeah"", ""Momma please stop cryin, I can't stand the sound Your pain is painful and its tearin' me down I hear glasses breakin as I sit up in my bed I told dad you didn't mean those nasty things you said"", ""You fight about money, bout me and my brother And this I come home to, this is my shelter It ain't easy growin up in World War III Never knowin what love could be, you'll see I don't want love to destroy me like it has done my family"", ""Can we work it out? Can we be a family? I promise I'll be better, Mommy I'll do anything Can we work it out? Can we be a family? I promise I'll be better, Daddy please don't leave"", ""Daddy please stop yellin, I can't stand the sound Make mama stop cryin, cause I need you around My mama she loves you, no matter what she says its true I know that she hurts you, but remember I love you, too"", ""I ran away today, ran from the noise, ran away Don't wanna go back to that place, but don't have no choice, no way It ain't easy growin up in World War III Never knowin what love could be, well I've seen I don't want love to destroy me like it did my family"", ""Can we work it out? Can we be a family? I promise I'll be better, Mommy I'll do anything Can we work it out? Can we be a family? I promise I'll be better, Daddy please don't leave"", ""In our family portrait, we look pretty happy Let's play pretend, let's act like it comes naturally I don't wanna have to split the holidays I don't want two addresses I don't want a step-brother anyways And I don't want my mom to have to change her last name"", ""In our family portrait we look pretty happy We look pretty normal, let's go back to that In our family portrait we look pretty happy Let's play pretend, act like it goes naturally"", ""In our family portrait we look pretty happy (Can we work it out? Can we be a family?) We look pretty normal, let's go back to that (I promise I'll be better, Mommy I'll do anything)"", ""In our family portrait we look pretty happy (Can we work it out? Can we be a family?) Let's play pretend act and like it comes so naturally (I promise I'll be better, Daddy please don't leave)"", ""In our family portrait we look pretty happy (Can we work it out? Can we be a family?) We look pretty normal, let's go back to that (I promise I'll be better, Daddy please don't leave)"", ""Daddy don't leave Daddy don't leave Daddy don't leave Turn around please Remember that the night you left you took my shining star? Daddy don't leave Daddy don't leave Daddy don't leave Don't leave us here alone"", ""Mom will be nicer I'll be so much better, I'll tell my brother Oh, I won't spill the milk at dinner I'll be so much better, I'll do everything right I'll be your little girl forever I'll go to sleep at night"""
16,missundaztood   ,"""Go Damon Go Linda Go Pink Hahaha yeah It's me"", ""I might be the way everybody likes to say I know what you're thinking about me There might be a day you might have a certain way"", ""But you don't in my luxuries And its me, I know I know my name Cuz I say it proud Everything I want I always do Lookin' for the right track Always on the wrong track But all you're catchin' are these tracks that I'm layin' down for you"", ""There's a song I was listenin' to up all night There's a voice I am hearin' sayin' its alright When I'm happy, I'm sad, but everything is good Its not that complicated I'm just missundaztood"", ""There might be a day everything, it goes my way Can't you think I know I'm superfly? I might see the world in a world inside of you Then I just might say goodbye And its my name I know, I say it loud cuz I'm really proud Of all the things I used to do Cuz its the wrong track Lookin' for the right track And all you're catchin' are these tracks that I'm layin' down for you"", ""There's a song I was listenin' to up all night There's a voice I am hearin' sayin' its alright When I'm happy, I'm sad, but everything is good Its not that complicated I'm just missundaztood"", ""There's a song I was listenin' to up all night There's a voice I am hearin' sayin' its alright When I'm happy, I'm sad, but everything is good Its not that complicated I'm just missundaztood"", ""Yeah, yeah, yeah"", ""Lookin' for the right track Always on the wrong track But all you're catchin' are these tracks that I'm layin' down for you"", ""There's a song I was listenin' to up all night There's a voice I am hearin' sayin' its alright I was taken for granted but its all good Cuz I'll do it again, I'm just missundaztood Said I'll do it again, I'm just missundaztood I said I'll do it again, I'm just missundaztood I said I'll do it again, I'm just missundaztood Yeah, yeah, yeah, yeah UH! Yeah, yeah, UH! UH! UH! UH! Bring it back, UH! Damon: Exlax commercial? Pink: Wha? *Laughs* No this ain't no damn exlax commercial! This my first single MAN!"""
17,cuz i can   ,"""Hahaha We're gonna rock and roll Ra Ra Alright I drink more than you I party harder than you do And my car's faster than yours too P I N K P I M P I'm back again I know ya'll missed me I'm so so sick Can't handle it Yeah I talk shit Just deal with it My rims are 23 inch And they're black on black No they're not his Diamonds all over my teefs You can try and try you can't be me So I'll cash my checks and place my bets And hope I'll always win Even if I don't I'm fucked because I live a life of sin But it's alright I don't give a damn I don't play your rules I make my own Tonight I'll do what I want Cuz I can You know I'm rare You stop and stare You think I care I don't You talk real loud But you ain't saying nothing cool I could fit your whole house in my swimming pool My life's a fantasy That you're not smart enough to even dream My ice is making me freeze You can try and try you can't beat me So I'll cash my checks and place my bets And hope I'll always win Even if I don't I'm fucked because I live a life of sin But it's alright I don't give a damn I don't play your rules I make my own Tonight I'll do what I want Cuz I can Yeah Uh Break it down It's tough times out here ya know what I'm saying mmhmm Yeah I'm super thick People say I'm much too chick Come and kiss the ring You just might learn a couple things I'm trying to school you dog Ruff ruff ruff ruff ruff ruff ruff I'm your worst nightmare Bring it we can take it there What are you scared So I'll cash my checks and place my bets And hope I'll always win Even if I don't I'm fucked because I live a life of sin But it's alright I don't give a damn I don't play your rules I make my own Tonight I'll do what I want Cuz I can Yeah So I'll cash my checks and place my bets And hope I'll always win Even if I don't I'm fucked because I live a life of sin But it's alright I don't give a damn I don't play your rules I make my own Tonight I'll do what I want Cuz I can Yeah"""
18,whataya want from me   ,"""Hey, slow it down whataya want from me Whataya want from me Yeah I'm afraid whataya want from me Whataya want from me"", ""There might have been a time When I would give myself away Oooh once upon a time I didn't give a damn But now, here we are so whataya want from me Whataya want from me Whataya want from me"", ""Just don't give up I'm workin it out Please don't give in, I won't let you down It messed me up, need a second to breathe Just keep coming around Hey, whataya want from me Whataya want from me Whataya want from me"", ""Yeah, it's plain to see That baby you're beautiful And there's nothing wrong with you It's me, I'm a freak (yeah) But thanks for lovin' me Cause you're doing it perfectly"", ""There might have been a time When I would let you slip away I wouldn't even try I think you could save my life"", ""Just don't give up I'm workin' it out Please don't give in, I won't let you down It messed me up, need a second to breathe Just keep comin around Hey, whataya want from me Whataya want from me Whataya want from me"", ""Just don't give up on me I won't let you down No, I won't let you down"", ""(So hey) Just don't give up Please don't give in, I won't let you down It messed me up Need a second to breathe Just keep coming around Hey, whataya want from me Whataya want from me Whataya want from me Whataya want from me Whataya want from me Whataya want from me Want from me"""
19,dinner a la sven   ,"""Pink - Dinner A La Sven Feat. Fiona Ziegler, Cantillation Choir, Sydney S Pink - Dinner A La Sven Feat. Fiona Ziegler, Cantillation Choir, Sydney S"""
20,dear diary   ,"""Dear, Dear Diary I wanna tell my secrets 'Cause you're the only one That I know willl keep them Dear, Dear Diary I wanna tell my secrets I know you'll keep them This is what I've done"", ""I've been a bad, bad girl For so long I don't know how to change, What went wrong Daddy's little girl When he went away What did it teach me? That love leaves, yeah yeah"", ""Dear, Dear Diary I wanna tell my secrets 'Cause you're the only one That I know will keep them, yeah Dear, Dear Diary I wanna tell my secrets I know you'll keep them So, this is what I've done"", ""I've been down every road you could go I've made some bad choices, as you know Seems I've got this whole world cradled in my hands But it's just like me not to understand, yeah"", ""Dear, Dear Diary I wanna tell my secrets 'Cause you're the only one That I know willl keep them Dear, Dear Diary I wanna tell my secrets I've been a bad, bad girl"", ""I've learned my lessons, yeah I turned myself around I've got a guardian angel tattooed on my shoulder She's been watching over me"", ""Dear, Dear Diary I wanna tell my secrets 'Cause you're the only one That I know will keep them Dear, Dear Diary I wanna tell my secrets 'Cause your the only one that I know you'll keep them This is what I've done"", ""Dear, Dear Diary I wanna tell my secrets 'Cause you're the only one That I know will keep them Dear, Dear Diary I wanna tell my secrets I've been a bad, bad girl"", ""I've been a bad, bad girl"""
