,Song_name,metallica
10,scape   ,"""Fell no pain, but my life ain't easy i know i'm my best friend no one cares, but i'm so much stronger i'll fight until the end to escape from the true false world undamaged destiny can't get caught in the endless circle ring of stupidity Out of my own, out to be free one with my mind, they just can't see no need to hear things that they say life is for my own to live my own way Rape my mind and destroy my feelings don't tell my what to do i don't care now, 'cause i'm on my side and i can see through you feed my brain with your so called standards who says that i ain't right break away from your common fashion see through your blurry sight Out of my own, out to be free one with my mind, they just can't see no need to hear things that they say life is for my own to live my own way See they try to bring the hammer down no damn chains can hold me to the ground life is for my own to live my own way"""
11,the unforgiven ii   ,"""Lay beside me Tell me what they've done Speak the words I wanna hear To make my demons run The door is locked now But it's open if you're true If you can understand the me Then I can understand the you"", ""Lay beside me, under wicked sky Through black of day, dark of night We share this paralyze The door cracks open But there's no sun shining through Black heart scarring darker still But there's no sun shining through No there's no sun shining through No there's no sun shining"", ""What I've felt, what I've known Turn the pages, turn the stone Behind the door, should I open it for you? Yeah, what I've felt, what I've known Sick and tired, I stand alone Could you be there 'Cause I'm the one who waits for you Or are you unforgiven too?"", ""Come lay beside me This won't hurt I swear She loves me not, she loves me still But she'll never love again She lay beside me But she'll be there when I'm gone Black hearts scarring darker still Yes she'll be there when I'm gone Yes she'll be there when I'm gone Dead sure she'll be there"", ""What I've felt, what I've known Turn the pages, turn the stone Behind the door, should I open it for you? Yeah, what I've felt, what I've known Sick and tired, I stand alone Could you be there 'Cause I'm the one who waits for you Or are you unforgiven too?"", ""Lay beside me Tell me what I've done The door is closed so are your eyes But now I see the sun Now I see the sun Yes now I see it"", ""What I've felt, what I've known Turn the pages, turn the stone Behind the door, should I open it for you Yeah, what I've felt, what I've known So sick and tired, I stand alone Could you be there 'Cause I'm the one who waits The one who waits for you"", ""Oh, what I've felt, what I've known Turn the pages, turn the stone Behind the door, should I open it for you? Oh, what I've felt Oh, what I've known I'll take this key and I'll bury it in you Because you're unforgiven too Never free, never me 'Cause you're unforgiven too"""
12,one   ,"""I can't remember anything Can't tell if this is true or dream Deep down inside I feel to scream This terrible silence stops me"", ""Now that the war is through with me I'm waking up, I cannot see That there is not much left of me Nothing is real but pain now"", ""Hold my breath as I wish for death Oh please God, wake me"", ""Back in the womb it's much too real In pumps life that I must feel But can't look forward to reveal Look to the time when I'll live"", ""Fed through the tube that sticks in me Just like a wartime novelty Tied to machines that make me be Cut this life off from me"", ""Hold my breath as I wish for death Oh please God, wake me"", ""Now the world is gone, I'm just one Oh God help me"", ""Hold my breath as I wish for death Oh please God, help me"", ""Darkness imprisoning me All that I see Absolute horror I cannot live I cannot die Trapped in myself Body my holding cell Landmine has taken my sight Taken my speech Taken my hearing Taken my arms Taken my legs Taken my soul Left me with life in hell"""
13,am i evil   ,"""My mother was a witch, she was burned alive. Thankless little bitch, Oh the tears I cried. Take her down now, don't want to see her face All blistered and burnt, can't hide my disgrace."", ""Twenty-seven, everyone was nice. Gotta see 'em make 'em pay the price. See their bodies out on the ice. Take my time."", ""Am I evil? Yes I am. Am I evil? I am man, yes I am."", ""As I watched my mother die, I lost my head. Revenge now I sought, to break with my bread. Taking no chances, you come with me. I'll split you to the bone, help set you free."", ""Twenty-seven, everyone was nice. Gotta see 'em make 'em pay the price. See their bodies out on the ice. Take my time."", ""Am I evil? Yes I am. Am I evil? I am man, yes I am."", ""On with the action now, I'll strip your pride. I'll spread your blood around, I'll see you ride. Your face is scarred with steel, wounds deep and neat. Like a double dozen before ya, smells so sweet."", ""Am I evil? Yes I am. Am I evil? I am man."", ""I'll make my residence, I'll watch your fire. You can come with me, sweet desire. My face is long forgot, my face not my own. Sweet and timely whore, take me home."", ""Am I evil? Yes I am. Am I evil? I am man. My soul is longing for, await my heir. Sent to avenge my mother, sweep myself. My face is long forgot, my face not my own. Sweet and timely whore, take me home. Am I evil? Yes I am. Am I evil? I am man. Am I evil? Yes I fucking am. Am I evil? I am man, yeah."""
14,die die my darling originally recorded by the misfits   ,"""Die die die my darling Don't utter a single word Die die die my darling Just shut your pretty eyes I'll be seeing you again Yeah I'll be seeing you in hell So don't cry to me oh baby Your future's in an oblong box Don't cry to me oh baby You should have seen it a comin' on Don't cry to me oh baby Had to know it was in your power Don't cry to me oh baby Dead end goal for a dead end girl Don't cry to me oh baby And now your life drains on that floor Don't cry to me oh baby Die, die, die my darling Don't utter a single word Die, die, die my darling Just shut your pretty mouth I'll be seeing you again I'll be seeing you in hell"", ""Don't cry to me oh baby Your future's in an oblong box Don't cry to me oh baby You should have seen it a-comin' on Don't cry to me oh baby Had to know it was in your power Don't cry to me oh baby Dead-end goal for a dead-end girl Don't cry to me oh baby Now your life drains on that floor Don't cry to me oh baby Die, die, die my darling Don't utter a single word Die, die, die my darling Shut your pretty mouth I'll be seeing you again I'll be seeing you in hell Die, die, die Die, die, die Die, die, die Die..."""
15,one remastered   ,"""I can't remember anything Can't tell if this is true or dream Deep down inside I feel to scream"", ""This terrible silence stops me"", ""Now that the war is through with me I'm waking up, I cannot see That there is not much left of me Nothing is real but pain now"", ""Hold my breath as I wish for death Oh please God, wake me"", ""Back in the womb it's much too real In pumps life that I must feel But can't look forward to reveal Look to the time when I'll live"", ""Fed through the tube that sticks in me Just like a wartime novelty Tied to machines that make me be Cut this life off from me"", ""Hold my breath as I wish for death Oh please God, wake me"", ""Now the world is gone, I'm just one Oh God help me"", ""Hold my breath as I wish for death Oh please God, help me"", ""Darkness imprisoning me All that I see Absolute horror I cannot live I cannot die"", ""Trapped in myself Body my holding cell Landmine has taken my sight"", ""Taken my speech Taken my hearing Taken my arms Taken my legs Taken my soul"", ""Left me with life in hell."""
16,hero of the day   ,"""The window burns to light the way back home"", ""A light that warms, no matter where they've gone"", ""They're off to find the hero of the day"", ""But what if they should fall by someone's wicked way?"", ""Still the window burns, time so slowly turns"", ""Someone there is sighing"", ""Keepers of the flames Do you feel your names?"", ""Can't you hear your babies crying?"", ""(Mama, they try and break me)"", ""(Still they try and break me)"", ""'scuse me while I tend to how I feel"", ""These things return to me that still seem real"", ""Now deservingly this easy chair"", ""But the rocking stops by wheels of despair"", ""Don't want your aid But the fist I've made for years won't hold or feel"", ""No I'm not all me So please excuse me while I tend to how I feel"", ""But now the dreams and waking screams that ever last through the night So build the wall behind it crawl and hide until it's light"", ""So can't you hear your babies crying now?"", ""Still the window burns Time so slowly turns And someone there is sighing Keepers of the flames, can't you hear your names? Can't you hear your babies crying? But now the dreams and waking screams that ever last the night So build a wall behind it crawl And hide until it's light So can't you hear your babies crying now? Mama, they try and break me Mama, they try and break me Mama, they try and break me Mama, they try, mama, they try Mama, they try and break me Mama, they try and break me Mama, they try and break me Mama, they try, mama, the try"""
17,fuel for fire nascar album   ,"""Gimmie fuel Gimmie fire Gimmie that which I desire Ooh"", ""Turn on, I'm dynamo Into the wild I go No other place I know I know"", ""Turn on, I see red War horse Warhead Throttle up, speed ahead"", ""Ooh On I burn Fuel is pumping engines Burning hard, loose and clean And on I burn Churning my direction Quench my thirst with gasoline"", ""Gimmie fuel Gimmie fire Gimmie that which I desire"", ""Can't fight the need for speed I'm loose (I'm loose) I'm clean (I'm clean) I'm burning lean and mean yeah mean"", ""Ignite the open trail Excite Excel Coming on hot from hell Yeah hot from hell"", ""Ooh On I burn Fuel is pumping engines Burning hard, loose and clean And on I burn Churning my direction Quench my thirst with gasoline"", ""Gimmie fuel Gimmie fire Gimmie that which I desire"", ""On I burn"", ""Gimmie fuel, gimmie fire, my desire"", ""Ooh On I burn Fuel is pumping engines Burning hard, loose and clean And on I burn Churning my direction Quench my thirst with gasoline"", ""Gimmie fuel Gimmie fire Gimmie that which I desire Ooh"""
18,commando   ,"""They do their best, they do what they can They get them ready for Vietnam"", ""From old Hanoi to East Berlin Commando... Involved again"", ""They do their best, they do what they can They get them ready for Vietnam"", ""First rule is - the laws of Germany Second rule is - be nice to mommy Third rule is - don't talk to Commies Fourth rule is - eat kosher salami"", ""They do their best, they do what they can They get them ready for Vietnam"", ""From old Hanoi to East Berlin Commando... Involved again"", ""They do their best, they do what they can They get them ready for Vietnam"", ""First rule is - the laws of Germany Second rule is - be nice to mo-mo-mo-mommy Third rule is - don't talk to Commies Fourth rule is - eat kosher salami"""
19,murder one   ,"""One crown Shines on through the sound One crown Born to lose One man Does not give a damn One man No excuse"", ""Aces wild Aces high All the aces Aces 'til you die"", ""White lines fading The iron horse rolls on and on and on"", ""Hear your thunder Still feeding back Still hear your thunder The man in black Born to lose Living to win"", ""One fist Hammers through the mist One fist Steady on One heart Diehard from the start One heart Beats its song"", ""Murder all Murder one Give me murder Second class to none"", ""Headlights fading The iron horse rolls on and on and on"", ""Hear your thunder Still feeding back Still hear your thunder The man in black Born to lose Living to win"", ""Hear your thunder Still feeding back I still hear your thunder The man in black Born to lose No excuse"", ""'Til the end Been living to win Been living to win"""
20,spit out the bone   ,"""Come unto me and you will feel perfection Come unto me and dedicate Come unto me, you'll never feel rejection Come unto me and terminate Remove your heart, it's only good for bleeding Bleeding through your fragile skin Remove your thought, 'cause it's only for deceiving Deceiving thoughts destroy within Disappear like man was never here"", ""Long live machine The future supreme Man overthrown Spit out the bone"", ""Plug into me, I guarantee devotion Plug into me and dedicate Plug into me and I'll save you from emotion Plug into me and terminate Accelerate, Utopian solution Finally cure the Earth of man Exterminate, speeding up the evolution Set on course a master plan Reinvent the earth inhabitant"", ""Long live machine The future supreme Man overthrown Spit out the bone"", ""The flesh betrays the flesh Your man has had his time We lay him down to rest Machined the new divine"", ""Stop breathing And dedicate to me Stop dreaming And terminate for me All meaning You dedicate to me All feelings You terminate for me"", ""Disappear like man was never here"", ""Long live machine Our future supreme Your man overthrown Spit out the bone, yeah"""
21,blackened   ,"""Blackened is the end"", ""Winter it will send Throwing all you see Into obscurity"", ""Death of Mother Earth Never a rebirth Evolution's end Never will it mend"", ""Never"", ""Fire To begin whipping dance of the dead Blackened is the end To begin whipping dance of the dead Color our world blackened"", ""Blistering of earth Terminate its worth Deadly nicotine Kills what might have been"", ""Callous frigid chill Nothing left to kill Never seen before Breathing nevermore"", ""Never"", ""Fire To begin whipping dance of the dead Blackened is the end To begin whipping dance of the dead Color our world blackened"", ""Blackened"", ""Opposition... contradiction... premonition... compromise Agitation... violation... mutilation... planet dies"", ""Darkest color Blistered earth True death of life"", ""Termination... expiration... cancellation... human race Expectation... liberation... population... lay to waste"", ""See our mother Put to death See our mother die"", ""Smoldering decay Take her breath away Millions of our years In minutes disappears"", ""Darkening in vain Decadence remains All is said and done Never is the sun"", ""Never"", ""Fire To begin whipping dance of the dead Blackened is the end To begin whipping dance of the dead Fire Is the outcome of hypocrisy Darkest potency In the exit of humanity Color our world blackened"", ""Blackened"""
22,creepin death   ,"""Slaves Hebrews born to serve To the pharaoh Heed To his every word Live in fear Faith Of the unknown one The deliverer Wait Something must be done Four hundred years"", ""So let it be written So let it be done I'm sent here by the chosen one So let it be written So let it be done To kill the first-born pharaoh son I'm creeping death"", ""Now Let my people go Land of Goshen Go I will be with thee Bush of fire Blood Running red and strong Down the Nile Plague Darkness three days long Hail to fire"", ""So let it be written So let it be done I'm sent here by the chosen one So let it be written So let it be done To kill the first-born pharaoh son I'm creeping death"", ""-Solo-"", ""Die by my hand I creep across the land Killing first-born man Die by my hand I creep across the land Killing first born man"", ""I Rule the midnight air The destroyer Born I shall soon be there Deadly mass I Creep the steps and floor Final darkness Blood Lambs blood painted door I shall pass"", ""So let it be written So let it be done I'm sent here by the chosen one So let it be written So let it be done To kill the first-born pharaoh son I'm creeping death"""
23,holier than thou   ,"""No more! The crap rolls out your mouth again Haven't changed, your brain is still gelatine Little whispers circle around your head Why don't you worry about yourself instead"", ""Who are you? Where ya been? Where ya from? Gossip is burning on the tip of your tongue You lie so much you believe yourself Judge not lest ye be judged yourself"", ""Holier than thou You are Holier than thou You are You know not"", ""Before you judge me take a look at you Can't you find something better to do Point the finger, slow to understand Arrogance and ignorance go hand in hand"", ""It's not who you are, it's who you know Others lives are the basis of your own Burn your bridges and built them back with wealth Judge not lest ye be judged yourself"", ""Holier than thou You are Holier than thou You are You know not"", ""(yeah! who the hell are you?) Holier than thou You are Holier than thou You are You know not Not!"""
24,of wolf and man   ,"""Off through the new day's mist I run Out from the new day's mist I have come I hunt Therefore I am Harvest the land Taking of the fallen lamb"", ""Off through the new day's mist I run Out from the new day's mist I have come We shift Pulsing with the earth Company we keep Roaming the land while you sleep"", ""Shape shift Nose to the wind Shape shift Feeling I've been Move swift All senses clean Earth's gift Back to the meaning of life Bright is the moon high in starlight"", ""Chill in the air cold as steel tonight We shift Call of the wild Fear in your eyes It's later than you realized Shape shift"", ""Nose to the wind Shape shift Feeling I've been Move swift All senses clean Earth's gift Back to the meaning of life I feel a change Back to a better day"", ""Hair stands on the back of my neck In wildness is the preservation of the world So seek the wolf in thyself Shape shift Nose to the wind"", ""Shape shift Feeling I have been Move swift All senses clean Earth's gift Back to the meaning Of wolf and man, yeah"""
25,no remorse   ,"""No mercy for what we are doing No thought to even what we have done We don't need to feel the sorrow No remorse for the helpless one"", ""War without end"", ""No remorse, no repent We don't care what it meant Another day, another death Another sorrow, another breath"", ""No remorse, no repent We don't care what it meant Another day, another death Another sorrow, another breath"", ""Blood feeds the war machine As it eats its way across the land We don't need the feel the sorrow No remorse is the one command"", ""War without end"", ""No remorse, no repent We don't care what it meant Another day, another death Another sorrow, another breath"", ""No remorse, no repent We don't care what it meant Another day, another death Another sorrow, another breath"", ""Only the strong survive No one to save the weaker race We are ready to kill all comers Like a loaded gun right at your face"", ""War without end"", ""No remorse, no repent We don't care what it meant Another day, another death Another sorrow, another breath"", ""No remorse, no repent We don't care what it meant Another day, another death Another sorrow, another breath Attack Bullets are flying, people are dying With madness surrounding all hell's breaking loose Soldiers are hounding, bodies are mounting Cannons are shouting to take their abuse With war machines going, blood starts to flowing No mercy given to anyone here The furious fighting, swords are like lighting It all becomes frightening to you know death is near No remorse"""
