,Song_name,eric-clapton
11,miss you   ,"""by Eric Clapton, Greg Phillinganes and Bobby Columby"", ""Don't change your mind, I ain't got the time to sit and wonder. I'm doing fine. If you decide to leave, I won't go under."", ""You know I've come this far without you; It won't be too hard to be alone. I've got choices all around me, So I won't be spending too much time at home."", ""Girl, I'm gonna miss you. I'm gonna miss you, baby. I can't forgive you, Instead I'm gonna miss you, baby."", ""No, don't say a word. I already heard that you don't love me. In your state of mind, I don't need to hear your side of the story."", ""Your friends all said we had a future And I don't think I really want to know. My friends keep telling me to lose you And how glad they'll be when you decide to go."", ""Chorus"", ""I broke my back to make you happy. Sometime, somehow, someone's got to care. If you think you're better off without me, Just remember, it's a dirty world out there."", ""Chorus"", ""I'm gonna miss the ground you walk on, Gonna miss the air you breathe. I'm just not quite happy, baby, 'bout your crazy plans to leave."""
12,catch the blues   ,"""I've been willing to bet You ain't got nothin' to lose I ain't figured out yet How you've been walking in my shoes Somebody tell me how to talk to you"", ""Ain't it funny You might even Catch the blues"", ""I've been willing to bet You ain't got nothing to say I ain't figured out yet How i've been getting in your way Somebody tell me how to play for you"", ""Ain't it funny You might even Catch the blues"", ""Living in a world of pain I've been living in a world of pain Without you making the difference Oh i've been going insane But i can't go on without calling out your name"", ""I've been willing to bet You ain't got nothing to show I ain't figure out yet Where you've been pointed me to go Somebody tell me how to get to you"", ""Ain't it funny You might even Catch the blues"", ""Living in a world of pain I've been living in a world of pain Without you making the difference Oh i've been going insane But i can't go on without calling out your name"""
13,isnt it a pity   ,"""Isn't it a pity, isn't it a shame How we break each other's hearts And cause each other pain How we take each other's love Without thinking anymore Forgetting to give back Isn't it a pity"", ""Somethings take so long, but how do I explain? When not too many people Can see we're all the same And because of all their tears Their eyes can't hope to see The beauty that surrounds them, oh Isn't it a pity"", ""(Rpt. 1st verse)"", ""Forgetting to give back Isn't it a pity Forgetting to give back Isn't it a pity"", ""What a pity, it's a pity"""
14,dance the night away   ,"""Gonna build myself a castle High up in the clouds There'll be skies outside my window Lose these streets and crowds Dance the night away"", ""Will find myself an ocean Sail into the blue Live with golden swordfish Forget the time of you Dance the night away"", ""Dance myself to nothing Vanish from this place Gonna turn myself to shadow So I can't see your face Dance the night away"""
15,golden ring   ,"""He gave to you a golden ring It made you happy, it made you sing And I played for you on my guitar It didn't last long, it didn't go far"", ""And though the times have changed They're rearranged Will the ties that bind remain the same?"", ""You came around after a while Everyone said that I made you smile It all went well, and suddenly then You heard that he would marry you again"", ""And though the times have changed They're rearranged Will the ties that bind remain the same?"", ""Well, I know that I have been here before I've trod on your wings, I've opened the door If I gave to you a golden ring Would I make you happy, would I make you sing?"", ""Though the times have changed They're rearranged Will the ties that bind remain the same?"", ""Though the times have changed They're rearranged Will the ties that bind remain the same?"""
16,little queen of spades   ,"""(Robert Johnson)"", ""She is a little queen of spades And the men will not let her be. Said she is a little queen of spades And the men will not let her be. Everytime she make a spread, Oh fair brown, cold chills run all over me."", ""Gonna get me a gambling woman If it's the last thing that I do. Gonna get me a gambling woman If it's the last thing that I do. A man don't need a woman, Oh fair brown, that he got to give all of his money to."", "" Everybody said you got a mojo, 'Cause baby, you've been using that stuff. Everybody said you got a mojo Baby, you've been using that stuff. Got a way trimming down, Oh fair brown, and I mean it's most too tough."", ""Little girl, since I am the king, Baby, and you is the queen, Little girl, since I am the king, Baby, and you is the queen, Let us put our heads together, Oh fair brown, and we can make our money green."""
17,got to hurry   ,"""Eric Clapton Miscellaneous GOT TO HURRY"", ""by O. Rasputin"""
18,county jail blues   ,"""(by Alfred Fields)"", ""They picked me up, put me in the county jail. They picked me up, put me in the county jail. They wouldn't let my woman come and post my bail."", ""Now I'm in prison, I've almost done my time. Now I'm in prison, I've almost done my time. They gave me six months, I had to work out nine."", ""I know my baby, she's gonna jump and shout. I know my baby, she's gonna jump and shout. When the train comes in and I come walking out."", ""Take these stripes from around me, chains from around my legs. Take these stripes from around me, chains from around my legs. The stripes don't hurt me; the chains could kill me dead."""
19,how long blues   ,"""How long, baby how long Has that evening train been gone? How long, how how long, baby how long?"", ""Went to the station, didn't see no train Down in my heart, I have an aching pain How long, how how long, baby how long?"", ""I feel disgusted, I feel so bad Thinking 'bout the good time that I once had had How long, how how long, baby how long?"", ""I could see the green grass growing on the hill; I ain't seen no greenback on a dollar bill How long, how how long, baby how long?"", ""You're gonna be sorry you feel so blue When you want me, baby, I declare I want, want you How long, how how long, baby how long?"", ""Don't have no money for to ride the train I would ride the rugs, baby, to be with you again How long, how how long, baby how long?"", ""How long, baby how long Must I keep my, my watching point? How long, how how long, baby how long?"""
20,if i had possession over judgement day   ,"""(Robert Johnson) If I had possession over judgement day, If I had possession over judgement day, Lord, the little woman I'm lovin' wouldn't have no right to pray."", ""And I went to the mountain, lookin' far as my eyes could see. And I went to the mountain, lookin' far as my eyes could see. Some other man got my woman and the 'a lonesome blues got me."", ""And I rolled and I tumbled and I cried the whole night long. And I rolled and I tumbled and I cried the whole night long."", "" Boy, I woke up this mornin', my biscuit roller gone."", ""Had to fold my armes and I slowly walked away. [Spoken:] 'I didn't like the way she done.' Had to fold my armes and I slowly walked away. I said in my mind, Yo' trouble gon' come someday. Now run here, baby, set down on my knee. Now run here, baby, set down on my knee. I wanna tell you all about the way they treated me."""
21,heavenly bodies   ,
22,i am yours   ,"""By eric clapton and nizami"", ""I am yours. However distant you may be, There blows no wind but wafts your scent to me, There sings no bird but calls your name to me. Each memory that has left it's trace with me Lingers forever as a part of me."", ""First verse"", ""First verse"", ""I am yours."""
23,im so glad   ,
24,busy baby montage   ,
25,holy mother   ,"""Holy Mother, where are you? Tonight I feel broken in two. I've seen the stars fall from the sky. Holy mother, can't keep from crying."", ""Oh I need your help this time, Get me through this lonely night. Tell me please which way to turn To find myself again."", ""Holy mother, hear my prayer, Somehow I know you're still there. Send me please some peace of mind; Take away this pain."", ""I can't wait, I can't wait, I can't wait any longer. I can't wait, I can't wait, I can't wait for you."", ""Holy mother, hear my cry, I've cursed your name a thousand times. I've felt the anger running through my soul; All I need is a hand to hold."", ""Oh I feel the end has come, No longer my legs will run. You know I would rather be In your arms tonight."", ""When my hands no longer play, My voice is still, I fade away. Holy mother, then I'll be Lying in, safe within your arms."""
26,ill be alright   ,
27,louise   ,"""Oh Louise, yes you're the sweetest girl I know. Don't you know now Louise, you are the sweetest girl that I know. You made me run from Chicago Oh, to the Gulf of Mexico."", "" Now you know Louise, She's like a rolling stone. Every time she leave a man, He has to grieve alone."", "" Oh Louise, why don't you hurry home? You know, I never had no good loving, Oh Louise, since you've been gone."", "" Got a girl called Mamie, Treat me nice and kind. I don't care what she do Because Louise is on my mind."", "" Chorus"", ""Louise ain't so good looking And her hair ain't red, But she cooks my breakfast And I bring it to my bed."", "" Chorus"", ""Oh Louise, why don't you hurry home? Oh Louise, why don't you hurry home? You made me run from Chicago Oh, to the Gulf of Mexico."""
28,better make it through today   ,"""Life is what you make it, That's what the people say. And if I can't make it through tomorrow, I'd better make it through today."", ""I have had my share of troubles; It's nothing new to me. When I look around me, All is see is misery."", ""Life is what you make it, At least that's what the people say. And if we can't make it through tomorrow We'd better make it through today, through today. Through today."""
29,main title get lost   ,
30,further on down the road   ,"""Further on down the road baby, you will accompany me Further on down the road baby, you will accompany me"", ""When I think back, your love was like the sun And I don't remember no dark days, remember the warm warm fun."", ""Further on down the road baby, you will accompany me. Fools in life, mmmm woman than a happy fool I'd rather be."", ""Oh baby I'll be glad to learn from you, Darlin' I know you will be glad to learn from me. And if we get down and things get sad,  We can cheer up eachother, and grin cuz things just ain't that bad. If we fools in life, a happy fool I would rather be."", ""Day by day, just one step, one step at a time. Cuz woman you have given me so much, Just to ease this stubborn little achin' heart of mine."", ""I don't care where they came from, and I don't care what they might say, Woman you've been lovin' in my corner, all, all the way. Day by day, that's the magical kind cuz it's flowin' all of the time."", ""Further on down the road, baby, you will accompany me  Further on down the road, baby, you will accompany me "", ""I look back, your love was like the sun, And I don't remember any cold days, I just remember the warm warm fun."", ""Further on down the road, baby, you will accompany me."", ""Ohhhh Babe, ohhhh babe, ohhhh darling ohhhh babe, ohhhh darling, ohhhh babe,  ohhhh babe, ohhhh darling, ohhhh babe,  ohhhh babe, ohhhh babe, ohhhh darling..."", ""Further on down the road Further on "", ""Further on down the road Further on "", ""Further on "", "" """
31,lay down sally   ,"""There is nothing that is wrong In wanting you to stay here with me I know you've got somewhere to go But won't you make yourself at home and stay with me? And don't you ever leave"", ""Lay down, Sally and rest here in my arms Don't you think you want someone to talk to? Lay down, Sally, no need to leave so soon I've been trying all night long just to talk to you"", ""Sun ain't nearly on the rise We still got the moon and stars above Underneath the velvet skies love is all that matters Won't you stay with me? Don't you ever leave"", ""Lay down, Sally and rest here in my arms Don't you think you want someone to talk to? Lay down, Sally and no need to leave so soon I've been trying all night long just to talk to you"", ""I long to see the morning light Coloring your face so dreamily So don't you go and say goodbye You can lay your worries down and stay with me Don't you ever leave"", ""Lay down, Sally and rest here in my arms Don't you think you want someone to talk to? Lay down, Sally there's no need to leave so soon I've been trying all night long just to talk to you Lay down, Sally and rest here in my arms But don't you think you want someone to talk to? Lay down, Sally there's no need to leave so soon I've been trying all night long just to talk to you"""
32,let it grow   ,"""Standin' at the crossroads Tryin' to read the signs To tell me which way I should go to find the answer And all the time I know Plant your love and let it grow"", ""Let it grow, let it grow Let it blossom, let it flow In the sun, the rain, the snow Love is lovely, let it grow"", ""Lookin' for a reason To check out on my mind It's so hard to get a friend I can count on There's nothin' left to show Plant your love and let it grow"", ""Let it grow, let it grow Let it blossom, let it flow In the sun, the rain, the snow Love is lovely, so let it grow Let it grow"", ""Time is gettin' shorter There's much for you to do Only ask and you will get what you are needin' The rest is up to you Plant your love and let it grow"", ""Let it grow, let it grow Let it blossom, let it flow In the sun, the rain, the snow Love is lovely, let it"", ""Let it grow, let it grow Let it blossom, let it flow In the sun, the rain, the snow Love is lovely, so let it grow"""
33,it all depends   ,"""So you think you are something special I wonder why baby is that so? Could admit you are something special Won't you tell me girl? I'd love to know"", ""Yes, I've seen you with your other girlfriends I can tell they really think you're fine And I've seen you with your other men friends They don't know if you're a love of mine"", ""It all depends on how you feel, baby I've got to know just how you feel, baby (How you feel?)"", ""It all depends on how you feel, baby I've got to know just how you feel, baby It all depends on how you feel, baby I've got to know just how you feel, baby"", ""'Cause you've taken away The only thing I've ever ever had Don't you know that I loved you? Why'd you make me feel bad? The only thing I ever loved Was loving you"", ""So you think you are something special I wonder why baby is that so? Could admit you are something special Won't you tell me girl? I'd love to know"", ""It all depends on how you feel, baby I've got to know just how you feel, baby It all depends on how you feel, baby I've got to know just how you feel, baby (How you feel?)"", ""So you think you are (Something special) What makes you think you are? (Something special) (Something special)"""
34,jailbait   ,"""By eric clapton"", ""You see her walking down the road. Man, that little girl is fine. I'd like to take her for a ride. I'd like to make her mine, all mine."", ""Look at that jailbait. Ain't that jailbait. Come on jailbait. She's just jailbait."", ""And do her mom and daddy know She gets all the boys so wound? She can't be more than sixteen. Man, that little girl is sound."", ""Hey little girl, where you going tonight? Hey little girl."", ""Chorus"", ""Hey little girl, where you going tonight? Hey little girl."", ""Chorus"", ""Chorus"""
35,one jump ahead of the storm   ,"""Lightning's flashing all around me, Thunder's rolling up behind. Big blue clouds are going to roll in Full of tears and make me blind."", ""I can't let her man recatch me. I can't stop to cry no more. I'm just running down the highway, One jump ahead of the storm."", ""One jump ahead of her crying, One jump ahead of her cold cheating arm. One jump ahead of her lying, One jump ahead of the storm."", ""One day I looked on the horizon, Saw her love just couldn't last. Oh, my mind was torn to pieces. I had to leave and get out fast."", ""And so I slipped out of her power. I saw my chance and I was gone Before the rain could start to falling. One jump ahead of the storm."", ""Chorus"", ""I was one jump ahead of the storm. Just one jump ahead of the storm. I was one jump ahead of the storm. Just one jump ahead of the storm."", ""I was one jump ahead of the storm. Just one jump ahead of the storm. I was one jump ahead of the storm. Just one jump ahead of the storm."""
36,as you said   ,"""By jack bruce and pete brown"", ""Let's go down to where it's clean To see the time that might have been. The tides have carried off the beach. As you said, The sun is out of reach."", ""Let's go back to where it's clean To see what year it might have been. The roads have carried off the smiles. As you said, To judge them at the trials."", ""Let's go back to now that's bad To see the time we might have had. The rails have carried off the trains. As you said, I'll never come again, again, again, again."""
37,man overboard   ,"""by Eric Clapton"", ""You say you do when you don't -- you say you will when you won't. You make me laugh make me cry -- you make me live make me die. You put me in put me out -- you make me scream make me shout. You pick me up put me down -- you make me king make me clown."", ""I'm like a man on fire, a man overboard. I'm like a man on fire, a man overboard."", ""You can turn on the light in the middle of the night. You can put me to rest, what you do is the best. You can turn me away and get me back the next day. You can fill up my heart or you can tear it apart."", ""Chorus"", ""You got me so excited you put my heart on overload. You got my soul ignited -- I'm getting ready to explode. There ain't no early warning for what I'm going through. I got the fever in the morning because my heart is set on you."", ""Chorus"""
38,further up the road   ,"""Further on up the road someone's gonna hurt you like you hurt me Further on up the road someone's gonna hurt you like you hurt me Further on up the road, baby, just you wait and see"", ""You gotta reap just what you sow; that old saying is true You gotta reap just what you sow; that old saying is true Just like you mistreat someone, someone's gonna mistreat you"", ""You been laughing, pretty baby, someday you're gonna be crying You been laughing, pretty baby, someday you're gonna be crying Further on up the road you'll find out I wasn't lying"", ""Further on up the road someone's gonna hurt you like you hurt me Further on up the road someone's gonna hurt you like you hurt me Further on up the road, baby, just you wait and see"""
39,bike ride   ,
40,anyday   ,"""You were talking and I thought I heard you say \""please leave me alone. Nothing in this world can make me stay. I'd rather go back, I'd rather go back home.\"""", ""But if you believed in me like I believe in you, We could have a love so true, we would go on endlessly. And I know anyday, anyday, I will see you smile. Any way, any way, only for a little while."", ""Well someday baby, I know you're gonna need me When this old world has got you down. I'll be right here, so woman call me And I'll never ever let you down."", ""Chorus"", ""And I know anyday, anyday, I will see you smile. Any way, any way, only for a little while."", ""To break the glass and twist the knife into yourself; You've got to be a fool to understand. To bring your woman back home after she's left you for another, You've got to be a, you've got to be a man."", ""Chorus"", ""Anyday, anyday, I will see you, I will see you smile. Any way, any way, only for a little while. Anyday, anyday, I will see you smile. Any way, any way, just for a little, just for a little while."""
41,just like a prisoner   ,"""by Eric Clapton"", ""Just like a prisoner, he don't know right from wrong. Just like a baby, he sings a pleading song And that's why so many tears must fall. Yes, that's why so many tears must fall."", ""Just like a sailor, he steers away from home. He feels a tidal wave in his heart, but he ain't alone And that's why so many tears must fall. Yes, that's why so many tears must fall."", ""I'm like that prisoner, I don't know right from wrong. Just like that baby, I sing a pleading song And that's why you'll never know how I feel. Yes, that's why you'll never know how I feel."""
42,drifting blues   ,"""I'm drifting and drifting, Just like a ship out on the sea. I'm drifting and drifting, Just like a ship out on the sea. Well I ain't got nobody In this world to care for me."", "" If my baby Would only take me back again. If my baby Would only take me back again. I would feel much better, darling, And at least I'd have a friend."", "" I give you all my money, Tell me what more can I do. I give you all my money, Tell me what more can I do. You is a sweet little girl But I swear you won't be true."", "" I'm drifting and drifting, Just like a ship out on the sea. I'm drifting and drifting, Just like a ship out on the sea. Because I ain't got nobody In this world to care for me."""
43,driftin   ,"""I'm driftin' and driftin', just like a ship out on the sea I'm driftin' and driftin', just like a ship out on the sea Well I ain't got nobody, in this world to care for me"", ""If my baby, would only take me back again If my baby, would only take me back again I would feel much better darling, and at least I'd have a friend"", ""I give you all my money, tell me what more can I do I give you all my money, tell me what more can I do You is a sweet little girl, but I swear you won't be true"", ""I'm driftin' and driftin', just like a ship out on the sea I'm driftin' and driftin', just like a ship out on the sea Because I ain't got nobody, in this world to care for me"""
44,got to get better in a little while   ,"""Don't you know what's wrong with me? I'm seeing things I don't want to see. Sniffing things that ain't no good for me. I'm going down fast, won't you say a prayer for me?"", ""It's got to get better in a little while. It's got to get better in a little while. It's got to get better in a little while. It's got to get better in a little while."", ""The sun's got to shine on my guitar someday."", ""Revolution all across the land."", "" Just like sly, you got to take a stand. Please don't hurt nobody, don't knock them down; Give them a helping hand to get off the ground."", ""Chorus"", ""The sun's got to shine on my guitar someday."", ""Still one thing that you can do; Fall down on your knees and pray. I know the lord's gonna answer you. Don't do it tomorrow, do it today."", ""Chorus ad infinitum"""
45,from four until late   ,"""(Robert Johnson)"", ""From four until late I was wringing my hands and crying. From four until late I was wringing my hands and crying. I believe to my soul that your daddy's gulfport bound."", ""From four until late, she made me a no good barroom clown. From four until late, she made me a no good barroom clown. You know she won't do nothing but tear a good man's reputation down."", "" A woman is like a dresser, some man always running through it's drawers. A woman is like a dresser, some man always running through it's drawers. She cause so many men to wear an apron overall."", ""When I leave this town I will bid you fare farewell. When I leave this town I will bid you fare farewell. And when I return again, you'll have a great long story to tell."""
46,mas y mas   ,
47,four until late   ,"""From four until late i was wringing my hands and crying. from four until late i was wringing my hands and crying. i believe to my soul that your daddy's gulfport bound."", ""from four until late, she made me a no-good barroom clown. from four until late, she made me a no-good barroom clown. you know she won't do nothing but tear a good man's reputation down."", ""a woman is like a dresser, some man always running through its drawers. a woman is like a dresser, some man always running through its drawers. she cause so many men to wear an apron overall."", ""when i leave this town i will bid you fare farewell. when i leave this town i will bid you fare farewell. and when i return again, you'll have a great long story to tell."""
48,it aint right   ,
49,man in love   ,"""You're always in my head, you keep me feeling fine I celebrate each time I realize you're really mine"", ""'Cause I'm a man in love, yes I'm a man in love I tell it everywhere I go, I want the whole world to know That I'm a man in love"", ""I used to be so sad, like a dog without a bone And then you showed me something baby I had never known"", ""Oh, I'm a man in love, I'm a man in love I tell it everywhere I go, I want the whole world to know That I'm a man in love"", ""I love to see you walk up and down the street You look so pretty baby from your head down to your feet"", ""I'm a man in love, yes I'm a man in love I tell it everywhere I go, I want the whole world to know That I'm a man in love"", ""Well, the minutes seem like hours, and the hours seem like days And the days they seem like years every time you go away"", ""I'm a man in love, yes I'm a man in love I tell it everywhere I go, I want the whole world to know That I'm a man in love"", ""'Cause I'm a man in love 'Cause I'm a man in love 'Cause I'm a man in love ..."""
50,greyhound bus   ,
51,motherless children   ,"""(traditional)"", ""Motherless children have a hard time when mother is dead, lord. Motherless children have a hard time when mother is dead, lord. They don't have anywhere to go; Wandering around from door to door. Nobody treats you like a mother will when your mother is dead, lord."", ""Father will do the best he can when your mother is dead, lord. Father will do the best he can when your mother is dead, lord. Father will do the best he can; So many things a father can't understand. Nobody treats you like a mother will when your mother is dead, lord."", ""Sister will do the best she can when your mother is dead, lord. Sister will do the best she can when your mother is dead, lord. Sister will do the best she can; So many things a sister can't understand. Nobody treats you like a mother will when your mother is dead."", ""When your mother is dead, when your mother is dead. When your mother is dead, Lord, when your mother is dead."""
52,dreaming   ,"""By jack bruce"", ""Dreaming about my love; You bring me joy and happiness, More or less. I dream my life away."", ""Waiting for you to come; Changing my life for you to emptyness, Meaningless. Minutes just drift by."", ""I don't care if I get nowhere. I can just dream and you'll be there. What else is there to do?"", ""Dreaming about my life; Where are you now, and when will you Come to me? I dream my life away."", ""Chorus"", ""First verse"", ""Dreaming, dreaming."""
53,diving duck blues   ,
54,hoodoo man   ,"""Well, I wonder, what's exactly the matter Child you know the time Seemed like an hour Everything had changed"", ""But I hold up my head Girl, I'm just trying to make you understand Well now, everybody tell me Somebody hoodoo'd the hoodoo man"", ""Well now, I buzzed your bell this morning You had your elevator run slow I buzzed your bell in, woman Take me on the third floor"", ""Well, I hold up my head Girl, I'm just trying to make you understand Well now, everybody tell me Somebody hoodoo'd the hoodoo man"", ""Well, I buzzed your bell this morning You had your elevator run slow I buzzed your bell in, woman Take me on the third floor"", ""I hold up my head Girl, I'm just trying to make you understand Well now, everybody tell me Somebody hoodoo'd the hoodoo man"", ""Well, I wonder, what's exactly the matter Child you know the time Seemed like an hour Everything had changed"", ""I hold up my head Girl, I'm just trying to make you understand Well now, everybody tell me Somebody hoodoo'd the hoodoo man"""
55,alberta   ,"""Alberta, Alberta, Where you been so long? Alberta, Alberta, Where you been so long? Ain't had no loving Since you've been gone."", ""Alberta, Alberta, Where'd you stay last night? Alberta, Alberta Where'd you stay last night? Come home this morning, Clothes don't fit you right"", ""Alberta, Alberta, Girl, you're on my mind. Alberta, Alberta, Girl, you're on my mind. Ain't had no loving Such a great long time."", ""Alberta, Alberta, Where you been so long? Alberta, Alberta, Where you been so long? Ain't had no loving Since you've been gone."""
56,hey hey   ,"""Hey hey. hey hey, baby, hey. hey hey. hey hey, baby, hey. i love you baby, sure ain't gonna be your dog. Hey hey. hey hey, baby, hey. hey hey. hey hey, baby, hey. my arms around you baby, all i can say is hey. First verse Hey hey. you lost your good thing now. hey hey. you lost your good thing now. you had me fooled, i found it out somehow."""
57,evil   ,
58,have you ever loved a woman blues in c   ,
59,knocking on heavens door   ,"""Ma, take this badge off of me I can't use it anymore It's gettin' dark, too dark to see Feel like I'm knockin' on heaven's door Knock knock knockin' on heaven's door Knock knock knockin' on heaven's door Knock knock knockin' on heaven's door Knock knock knockin' on heaven's door Ma, take these guns away from me I can't shoot them anymore There's a long black cloud, following me Feels like I'm knockin' on heaven's door Knock, knock, knockin' Knock knock knockin' on heaven's door Knock knock knockin' on heaven's door Ma, take this badge off of me I can't use it anymore It's getting dark, too dark to see Feel like I'm knockin' on heaven's door Knock knock knockin' on heaven's door Knock knock knockin' on heaven's door Knock knock knockin' on heaven's door Knock knock knockin' on heaven's door"""
